nazwa,kategoria,URL,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07
06MAGNA,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_06MAGNA.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23,7.36,7.01,7.46,7.5,7.36,7.52,7.37,7.67,7.52,8.19,6.84,6.95,7.15,7.32,7.11,7.05,6.47,6.44,6.08,6.08,6.23,6.2,5.97,5.71,5.85,6.16,6.82,6.48,5.76,6.37,6.23,5.94,5.05,2.2,2.39,2.06,1.93,1.78,1.32,0.93,0.92,0.95,0.92,0.91,0.88,1.09,1.23,1.24,1.17,0.89,0.96,0.97,0.96,1.01,0.94,0.65,0.64,0.65,0.65,0.65,0.64,0.65,0.65,0.65,0.65,0.65
08OCTAVA,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_08OCTAVA.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38,8.33,8.51,8.15,7.75,8.02,7.81,7.72,7.99,8.75,8.8,8.53,8.03,8.15,9.21,9.86,11.29,11.12,12.27,14.15,13.02,12.04,9.83,10.19,9.83,10.11,10.62,12.72,11.33,11.31,10.29,10.61,10.52,10.78,10.31,10.93,10.28,10.51,10.44,10.25,10.25,9.92,10.06,10.14,10.13,10.17,10.17,10.16,8.87,9.01,8.74,8.72,8.42,8.44,9.3,8.97,9.02,8.89,8.48,8.17,8.7,8.83,8.6,8.28,8.37,8.45,8.28
11BIT,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_11BIT.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.9,42.92,37.89,37.61,35.71,36.43,38.57,46.92,51.64,66.33,63.54,66.04,73.57,73.21,98.62,100.36,97.27,98.01,99.03,105.96,112.7,102.65,93.48,97.9,108.58,117.42,114.69,113.56,188.6,250.46,238.08,232.57,202.35,182.06,160.53,137.54,129.88,149.62,146.4,211.1,198.01,211.85,213.55,222.26
4FUNMEDIA,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_4FUNMEDIA.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7,19.05,14.12,11.23,11.87,10.45,9.65,9.15,8.66,7.25,6.23,5.56,5.63,5.34,4.84,5.14,3.93,3.27,3.57,3.82,4.03,4.86,4.91,5.26,5.08,4.66,4.62,6.45,5.56,4.75,4.99,4.99,4.69,5.26,4.63,4.83,4.99,4.6,5.17,5.26,5.68,6.24,6.47,8.36,8.32,8.0,8.62,9.38,10.62,9.76,10.03,9.96,14.02,13.69,14.68,14.48,14.37,12.84,13.3,11.26,12.03,10.7,10.73,12.19,8.71,8.25,7.51
AATHOLD,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_AATHOLD.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.73,41.28,34.85,34.77,34.08,37.3,38.06,34.27,35.61,33.88,35.27,37.79,36.89,34.34,31.56,33.43,33.36,32.8,34.34,36.04,35.96,35.73,36.12,37.26,37.65,35.19,38.36,43.58,44.04,41.81,43.6,42.6,42.19,43.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABADONRE,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_ABADONRE.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,2.21,2.22,4.99,4.98,4.85,26.01,46.01,38.36,48.55,46.59,43.78,46.49,44.53,41.49,39.08,35.99,35.71,51.55,46.34,43.0,42.67,42.56,39.64,36.04,31.1,27.97,29.18,28.77,29.05,26.78,26.89,26.69,0.0,0.0,0.0,0.0,0.0
ABCDATA,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_ABCDATA.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.73,127.66,126.12,117.52,120.36,125.84,119.73,118.64,120.0,114.11,105.45,98.73,102.4,104.45,111.82,105.59,115.25,100.05,102.66,100.58,93.98,92.51,99.89,93.01,88.86,93.69,105.36,103.16,98.34,81.52,78.0,67.59,66.24,61.09,52.21,54.65,65.08,69.94,57.89,57.33,57.03,54.83,53.29,55.55,53.49,59.84,65.23,62.47,65.22,60.27,57.44,56.1,54.81,45.66,45.39,45.79,45.16,25.74,24.82,36.73,37.17,39.8,41.59,41.45,41.74,42.07,41.69
ABG,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_ABG.png,34,32,34,32,30,31,25,25,22,23,22,25,25,28,27,38,42,36,42,55,45,42,37,65,67,66,71,66,55,0,0,0,0,0,0,0,0,0,0,0,0,0,134,133,148,144,129,139,175,165,145,151,132,118,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABMSOLID,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_ABMSOLID.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,1.3,1.6,1.32,1.19,1.24,0.95,0.56,0.74,0.79,0.51,0.46,0.66,0.65,0.62,0.75,0.71,0.74,1.01,1.16,1.14,1.02,0.97,0.73,0.7,0.55,0.57,0.56,1.45,2.0,1.82,1.67,2.3,2.07,1.77,1.61,1.65,1.63,2.03,2.07,2.13,2.89,2.37,2.28,2.2,1.87,2.34,2.25,2.1,1.94,2.08,2.44,2.09,1.82,2.13,1.83,1.77,1.47,1.01,0.66,0.16,0.15,0.15,0.09,0.09,0.1,0.0
ABPL,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_ABPL.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.9,124.13,118.87,113.1,115.1,118.11,107.61,107.55,123.98,119.36,122.33,114.83,136.95,150.19,163.14,172.52,165.6,147.62,160.75,149.09,130.58,125.93,132.88,126.34,114.83,116.98,132.74,128.54,116.36,95.84,100.09,107.37,135.15,124.59,130.9,127.52,134.93,134.03,145.77,141.92,139.63,136.92,132.03,124.51,102.37,104.75,117.4,119.23,123.3,111.2,99.99,97.81,81.7,72.93,70.38,72.74,76.93,74.37,66.03,59.9,72.61,75.83,73.95,69.03,59.22,65.1,72.05
ACAUTOGAZ,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_ACAUTOGAZ.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.94,101.06,87.31,87.84,94.49,83.1,80.53,71.86,78.02,73.18,67.59,65.74,69.9,72.73,80.04,82.45,82.28,76.65,69.35,66.12,66.96,68.81,75.62,72.03,66.31,72.65,89.46,89.05,86.81,87.81,86.52,88.54,89.79,85.34,88.43,92.0,101.6,91.82,94.16,100.93,99.88,100.82,105.29,94.67,93.0,98.34,99.31,95.54,93.69,95.13,94.65,93.08,92.98,87.37,95.26,99.21,94.03,93.18,97.72,98.26,102.99,106.78,113.42,120.86,127.75,120.81,108.2
ACTION,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_ACTION.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.06,187.65,181.58,187.8,194.53,175.64,171.4,165.59,182.35,183.71,176.41,177.08,193.41,212.15,213.67,205.89,158.45,133.06,137.04,141.14,105.41,96.42,105.18,115.5,90.77,91.03,66.74,60.01,54.76,61.54,27.25,21.41,28.27,25.47,16.05,15.52,17.35,16.42,18.69,17.53,13.89,13.48,14.67,18.62,16.69,17.92,13.71,12.48,14.06,13.15,12.77,12.09,11.86,12.36,12.64,15.44,15.09,12.02,11.46,11.21,11.33,10.22,13.68,14.23,12.09,12.08,14.86
ADIUVO,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_ADIUVO.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.65,58.28,53.98,46.98,53.63,52.83,51.33,52.75,55.0,51.4,60.65,64.54,64.58,62.7,63.99,62.9,63.58,68.62,67.13,64.85,57.04,48.95,42.19,42.46,38.7,32.0,35.26,30.62,26.76,18.35,16.86,20.57,23.07,24.71,22.48,23.32,22.9,27.3,19.36,22.58,21.32,21.04,20.05,23.02,26.03,24.32
ADVADIS,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_ADVADIS.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0.97,0.48,0.48,0.97,0.48,0.48,0.48,0.48,0.48,0.96,0.47,0.48,0.97,0.49,1.0,0.49,0.48,0.48,0.47,0.47,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGORA,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_AGORA.png,957,968,983,980,849,793,727,779,707,772,777,693,616,573,548,542,598,587,684,814,655,601,528,615,557,516,542,564,550,596,621,677,659,618,698,790,796,911,821,795,946,899,982,977,985,893,1001,1015,944,782,711,655,539,488,534,456,422,417,490,524,540,569,672,656,665,615,637,742,747,846,863,846,713,684,661,646,573,557,595,480,442,294,242,213,166,130,155,197,171,173,244,313,286,248,299,278,261,305,354,342,327,283,315,317,360,357,338,336,311,344,333,330,261,230,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.42,135.91,136.77,126.15,114.49,109.93,97.74,97.93,99.42,97.41,99.77,89.15,110.64,122.63,126.94,141.31,152.93,145.12,141.81,134.73,133.15,129.19,153.49,141.57,123.23,125.32,141.15,134.53,134.88,135.17,125.7,120.38,110.32,122.17,119.21,135.0,148.03,166.74,165.6,183.11,176.9,168.26,178.14,199.08,189.15,183.94,183.61,165.02,165.44,153.45,164.2,175.06,171.04,144.8,115.88,114.95,98.15,100.02,119.43,108.41,115.36,128.01,122.91,135.69,136.22,144.61,133.52
AGROS,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_AGROS.png,46,48,47,34,37,28,27,27,20,21,0,0,27,26,24,23,25,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILLERON,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_AILLERON.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.59,19.25,16.69,19.59,22.58,20.46,19.74,19.77,19.83,20.14,27.25,28.56,24.22,25.11,24.25,26.33,39.47,39.82,40.41,59.93,57.79,51.6,50.18,47.8,49.06,52.73,52.42,43.77,44.91,49.77,47.05,40.65,37.84,42.29,35.72,32.52,28.28,30.19,33.92,31.38,27.12,23.61,22.34,23.83,24.19
AIRWAY,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_AIRWAY.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.13,12.31,15.45,21.86,24.74,23.14,22.9,23.11,23.61,27.47,26.86,27.84,27.99,22.12,19.09,16.04,12.88,14.43,10.56,9.95,11.12,11.19,9.58,9.0,10.28,9.64,11.47,12.51,11.63,9.17,9.4,8.84,9.83,9.48,8.94,8.71,10.35,9.76,10.16
ALCHEMIA,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_ALCHEMIA.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,106,202,262,443,214,176,136,752,613,598,622,614,617,815,847,983,715,0,0,0,0,0,0,0,0,710,644,679,671,702,655,594,603,488,518,507,554,440,390,431,379,321,298,376,343,319,370,382,384,360,363,345,362,365,408,390,374,366,401,394,425,418,417,454,434,415,385,406,468,447,436,363,272,264,237,218,247,308,303,237,236,262,270,262,277,258,255,254,245,228,198,195,0,219,243,243,245,261,280,0,256.5,263.22,260.04,247.94,246.88,246.26,242.56,239.27,242.85,238.8,240.11,231.81,237.64,241.47,233.8,229.07,236.31,222.2,221.75,220.1,215.64,229.77,230.31,235.72,227.45,228.96,230.06,223.69,224.55,226.42,228.0,234.19,234.23,233.43,221.7,226.04,229.52,233.05,240.77,237.14,247.74,242.28,235.52,236.52,233.0,234.83,230.65,207.15,207.29,207.76,199.56,194.29,192.61,195.34,198.23,193.7,210.7,214.72,220.03,217.37,221.48,221.24,221.33,194.02,192.38,194.17,192.4
ALIOR,banki,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_ALIOR.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788,1089,1081,1056,1090,1242,1314,1274,1364,1356,1187,1135,1248,1452.71,1633.28,1470.49,1329.41,1409.8,1395.16,1297.54,1265.21,1423.36,1244.7,1321.79,1264.99,1428.47,1443.19,1477.39,1582.15,1632.31,1547.92,1514.48,1507.38,1358.57,1384.87,1246.83,1139.72,985.7,998.65,1106.52,1138.5,857.16,858.92,1494.26,1581.48,1391.2,1408.58,1300.32,1583.29,1820.62,1958.96,2189.52,2286.3,2112.13,1888.48,1947.45,2001.83,2054.55,2200.02,2214.59,2463.85,2664.23,2579.14,2279.53,2196.26,2091.51,2001.95,2216.55,2067.8,1925.57,1740.7,1658.4,1614.87,1753.85,1777.25,1813.54,1784.39,1606.22,1529.68,1427.51
ALMA,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_ALMA.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.12,48.39,44.65,39.46,33.5,31.94,28.38,27.46,30.5,24.07,21.94,19.4,18.24,19.43,20.65,19.26,23.97,24.13,19.3,15.97,13.07,11.68,9.79,9.83,8.0,7.12,8.25,11.05,9.39,7.54,9.1,4.6,2.68,2.6,2.02,2.48,2.11,3.38,2.75,1.47,0.98,0.84,2.29,1.87,1.87,1.4,0.66,1.09,0.77,0.74,0.66,0.45,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
